truckId,simulationId,tiempo
0013DYS,f007019f-866d-48be-a0cb-bd96328ee43b,"[619290.0, 595710.0, 1165620.0, 1241220.0, 596220.0]"
0013DYS,f0f90050-5a0f-4965-864e-d6bc0d02b5a0,"[638280.0, 128610.0, 255780.0, 151140.0, 503850.0]"
0013DYS,f34001bf-670e-48ef-b706-535637ee7818,"[1409370.0, 343680.0, 982440.0, 387450.0, 422490.0, 559350.0, 611220.0, 191010.0]"
0013DYS,f4d22ce9-3723-4197-b7a8-67ac3d812383,"[423720.0, 483660.0, 516150.0, 845130.0, 323280.0, 1044690.0]"
0013DYS,f5532e53-1b55-4412-aa91-aed76c9ab80f,"[720180.0, 513090.0, 148410.0, 1538070.0, 1296330.0, 516510.0, 226650.0, 119520.0]"
0013DYS,fea13535-ade6-4215-96ca-dab5b4ef309b,"[3901230.0, 3846930.0]"
0184WLX,5bc23801-c7da-43be-80d1-70bf84a82d17,"[1982280.0, 345780.0, 1914060.0, 391080.0]"
0265TYL,3639f918-671b-4d85-a9d9-a4740ab1d1a0,"[2220630.0, 2261730.0]"
0265TYL,76cb2988-3a44-44bf-8cd6-91f93dc68270,"[206910.0, 473460.0, 277650.0, 1844430.0, 1985430.0, 332220.0]"
0265TYL,a2bfd344-3b14-462a-82e7-d42aca54a650,"[96060.0, 116010.0, 513870.0, 275820.0, 1558470.0, 1611870.0, 537660.0]"
0265TYL,aeec8199-893b-4784-8af9-31ef0f2b9857,"[2526210.0, 2493870.0]"
0265TYL,cb6a8d9e-c533-41bd-972d-871d80028307,"[1073880.0, 487230.0, 1489320.0, 1135560.0, 308250.0, 576390.0]"
0265TYL,dbdddebe-c15c-4032-a4f3-d4e3e2087b5c,"[176760.0, 23610.0, 1507290.0, 1067790.0, 2125530.0]"
0781PZL,04e06e2f-d6d4-4364-aedc-d3f98fa1017a,"[2474160.0, 1614630.0, 889470.0, 181440.0, 547050.0, 595620.0, 427020.0]"
0781PZL,0e431f85-a4c6-4109-ad1b-98f58392816e,"[2435220.0, 1491090.0, 154380.0, 130380.0, 216840.0, 754290.0]"
0781PZL,35639c90-2e65-4da6-abb4-9f23ff5e94f0,"[207330.0, 2590170.0, 1851030.0, 931740.0, 568320.0, 254550.0]"
0781PZL,3639f918-671b-4d85-a9d9-a4740ab1d1a0,"[1259760.0, 1002390.0, 1047420.0, 298350.0, 554850.0]"
0781PZL,5bc23801-c7da-43be-80d1-70bf84a82d17,"[401400.0, 413880.0, 462180.0, 739980.0, 709050.0, 233880.0, 489150.0]"
0781PZL,7a380404-da50-4a66-8ce4-47865698ad1b,"[2477370.0, 2549220.0]"
0781PZL,864bd9f3-074d-45e8-a032-5a01237ae290,"[2216340.0, 643020.0, 1944060.0]"
0781PZL,87cbff75-1caa-4068-a786-21468b9488b8,"[2477220.0, 2549310.0]"
0781PZL,a0788763-3bd2-4720-8865-5f5332cf30a6,"[3574740.0, 3565980.0]"
0781PZL,aeec8199-893b-4784-8af9-31ef0f2b9857,"[216390.0, 1879740.0, 35940.0, 119640.0, 1017030.0, 1792500.0]"
0781PZL,bafe7676-7c4f-45a4-9c0d-c34153a00076,"[819150.0, 463590.0, 717450.0, 922050.0, 339180.0, 361710.0, 768960.0]"
0781PZL,c2c558ad-2855-4f41-b26a-3cfd276f439a,"[1656600.0, 182340.0, 179610.0, 1083990.0, 151110.0, 250950.0, 464550.0, 532050.0]"
0781PZL,cb6a8d9e-c533-41bd-972d-871d80028307,"[288690.0, 733230.0, 555510.0, 301380.0, 422730.0, 287310.0, 801660.0]"
0781PZL,cfe3f9b5-0b5b-4a0d-9311-1b3ef92261aa,"[575280.0, 307410.0, 535950.0, 1289820.0, 2100900.0]"
0781PZL,d17da1f8-a5a6-4614-a067-6feb96b2b611,"[2113740.0, 1411290.0, 868650.0, 206610.0]"
0781PZL,d8e2d2b5-2bb8-437f-9493-b078926a19a4,"[824910.0, 407490.0, 1630290.0, 1592820.0, 482820.0]"
0781PZL,da12ce1a-9c67-4ff9-923e-8dac24549fe3,"[2512260.0, 1435860.0, 717120.0, 241410.0, 184290.0, 1122420.0]"
0781PZL,e7994090-f25d-4c51-af2a-9db9c65cff6f,"[933210.0, 802590.0, 443520.0, 238050.0, 302010.0, 760920.0, 322680.0, 468180.0]"
0781PZL,ebda61a0-2d8b-4999-a480-8aac6aad374d,"[869220.0, 289320.0, 1431360.0, 190590.0, 94050.0, 2215410.0]"
0781PZL,f007019f-866d-48be-a0cb-bd96328ee43b,"[705000.0, 284850.0, 1509930.0, 991680.0, 647880.0, 115380.0]"
0781PZL,fa23dac3-ff27-474b-8e67-cf65128b6afe,"[2158890.0, 1140000.0, 2679660.0]"
1012GWV,5bc23801-c7da-43be-80d1-70bf84a82d17,"[2102610.0, 1995960.0, 320940.0]"
1161GJN,a2bfd344-3b14-462a-82e7-d42aca54a650,"[1565460.0, 2022030.0, 2863230.0, 228060.0]"
